student_id,subject_id,subjecT_type,grade,semester,year,curriculum
63ff5b2e627f0162eb706e16098a6001,1076021,ฮาร์ดแวร์,,1,2564,วิศวกรรมคอมพิวเตอร์
63ff5b2e627f0162eb706e16098a6001,1076022,ฮาร์ดแวร์,,1,2564,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1006028,เลือกภาค,A,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1006030,คณิตศาสตร์,D,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076001,ฮาร์ดแวร์,C+,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076002,ซอฟต์แวร์,C+,1,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1006031,คณิตศาสตร์,F,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076003,ฮาร์ดแวร์,D+,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076004,ซอฟต์แวร์,D+,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076012,คณิตศาสตร์,D,2,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1006031,คณิตศาสตร์,C,3,2560,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076006,ฮาร์ดแวร์,D+,1,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076007,เน็ตเวิร์ค,F,1,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076005,ซอฟต์แวร์,F,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076009,ฮาร์ดแวร์,F,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076010,เน็ตเวิร์ค,D,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076253,คณิตศาสตร์,C,2,2561,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076005,ซอฟต์แวร์,F,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076007,เน็ตเวิร์ค,D,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076011,ซอฟต์แวร์,D,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076022,ฮาร์ดแวร์,D+,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076263,ซอฟต์แวร์,B,1,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076009,ฮาร์ดแวร์,C,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076014,อื่นๆ,B,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076023,ฮาร์ดแวร์,B+,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076028,เน็ตเวิร์ค,B,2,2562,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076015,อื่นๆ,B,1,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076021,ฮาร์ดแวร์,C+,1,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076027,เน็ตเวิร์ค,D,1,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076008,ซอฟต์แวร์,C+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076013,คณิตศาสตร์,C+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076029,เน็ตเวิร์ค,B+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076419,เลือกภาค,B+,2,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1006004,เลือกภาค,S,3,2563,วิศวกรรมคอมพิวเตอร์
025f749d7a5d9b5c3f3d57b68e1de9e9,1076311,อื่นๆ,,1,2564,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1006028,เลือกภาค,A,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1006030,คณิตศาสตร์,C,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076001,ฮาร์ดแวร์,B,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076002,ซอฟต์แวร์,D+,1,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1006031,คณิตศาสตร์,D+,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076003,ฮาร์ดแวร์,C,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076004,ซอฟต์แวร์,C+,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076012,คณิตศาสตร์,C,2,2561,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076005,ซอฟต์แวร์,F,1,2562,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076006,ฮาร์ดแวร์,C,1,2562,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076007,เน็ตเวิร์ค,D+,1,2562,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076005,ซอฟต์แวร์,F,1,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076005,ซอฟต์แวร์,B,2,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076010,เน็ตเวิร์ค,D+,2,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076253,คณิตศาสตร์,C,2,2563,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076008,ซอฟต์แวร์,,1,2564,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076011,ซอฟต์แวร์,,1,2564,วิศวกรรมคอมพิวเตอร์
2a408033cc779781e686fb63ed6b8ce2,1076263,ซอฟต์แวร์,,1,2564,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1006028,เลือกภาค,A,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1006030,คณิตศาสตร์,C+,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076001,ฮาร์ดแวร์,B+,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076002,ซอฟต์แวร์,B,1,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1006031,คณิตศาสตร์,C,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076003,ฮาร์ดแวร์,C+,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076004,ซอฟต์แวร์,A,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076012,คณิตศาสตร์,A,2,2561,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076005,ซอฟต์แวร์,C,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076006,ฮาร์ดแวร์,A,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076007,เน็ตเวิร์ค,B+,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076582,เลือกภาค,B,1,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076008,ซอฟต์แวร์,B,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076009,ฮาร์ดแวร์,B+,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076010,เน็ตเวิร์ค,C+,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076253,คณิตศาสตร์,B+,2,2562,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076011,ซอฟต์แวร์,A,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076021,ฮาร์ดแวร์,A,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076022,ฮาร์ดแวร์,A,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076026,ซอฟต์แวร์,B,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076263,ซอฟต์แวร์,B,1,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076013,คณิตศาสตร์,B,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076014,อื่นๆ,A,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076023,ฮาร์ดแวร์,B+,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076025,ซอฟต์แวร์,A,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076568,เลือกภาค,B,2,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1006004,เลือกภาค,S,3,2563,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076015,อื่นๆ,,1,2564,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076024,ซอฟต์แวร์,,1,2564,วิศวกรรมคอมพิวเตอร์
c8a67d514a86e641f8abce6a7cdb1cb5,1076311,อื่นๆ,,1,2564,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1006028,เลือกภาค,B+,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1006030,คณิตศาสตร์,F,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076001,ฮาร์ดแวร์,B+,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076002,ซอฟต์แวร์,B,1,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1006030,คณิตศาสตร์,D,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076003,ฮาร์ดแวร์,D+,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076004,ซอฟต์แวร์,C+,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076012,คณิตศาสตร์,D+,2,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1006031,คณิตศาสตร์,C+,3,2561,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076005,ซอฟต์แวร์,D+,1,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076006,ฮาร์ดแวร์,C,1,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076007,เน็ตเวิร์ค,D,1,2562,วิศวกรรมคอมพิวเตอร์
8015c6ea4266753ba502a8c70c210a05,1076008,ซอฟต์แวร์,C,2,2562,วิศวกรรมคอมพิวเตอร์
