student_id,subject_id,grade,semester,year,curriculum,grade_num,career
035bc610b0e8c567e8d4c72142469aea,90306003,B+,1,2562,วิศวกรรมคอมพิวเตอร์,3.5,
035bc610b0e8c567e8d4c72142469aea,90401013,B,2,2562,วิศวกรรมคอมพิวเตอร์,3,
035bc610b0e8c567e8d4c72142469aea,90402013,,1,2564,วิศวกรรมคอมพิวเตอร์,,
0377945288e314fd68cd6e3ec5408f10,90101002,A,1,2561,วิศวกรรมคอมพิวเตอร์,4,
0377945288e314fd68cd6e3ec5408f10,90104010,A,2,2562,วิศวกรรมคอมพิวเตอร์,4,
0377945288e314fd68cd6e3ec5408f10,90201001,B+,1,2561,วิศวกรรมคอมพิวเตอร์,3.5,
0377945288e314fd68cd6e3ec5408f10,90201002,A,2,2561,วิศวกรรมคอมพิวเตอร์,4,
0377945288e314fd68cd6e3ec5408f10,90201016,A,2,2562,วิศวกรรมคอมพิวเตอร์,4,
0377945288e314fd68cd6e3ec5408f10,90201030,A,1,2562,วิศวกรรมคอมพิวเตอร์,4,
0377945288e314fd68cd6e3ec5408f10,90302003,B+,2,2563,วิศวกรรมคอมพิวเตอร์,3.5,
0377945288e314fd68cd6e3ec5408f10,90303006,A,1,2561,วิศวกรรมคอมพิวเตอร์,4,
0377945288e314fd68cd6e3ec5408f10,90401011,A,2,2561,วิศวกรรมคอมพิวเตอร์,4,
0377945288e314fd68cd6e3ec5408f10,90402013,B+,1,2563,วิศวกรรมคอมพิวเตอร์,3.5,
0377945288e314fd68cd6e3ec5408f10,90593009,,1,2564,วิศวกรรมคอมพิวเตอร์,,
0377945288e314fd68cd6e3ec5408f10,90594016,B+,2,2563,วิศวกรรมคอมพิวเตอร์,3.5,
038943830761d707fcc1c10563552d8d,90594001,,1,2564,วิศวกรรมคอมพิวเตอร์,,
038943830761d707fcc1c10563552d8d,90641001,,1,2564,วิศวกรรมคอมพิวเตอร์,,
038943830761d707fcc1c10563552d8d,90641003,,1,2564,วิศวกรรมคอมพิวเตอร์,,
038943830761d707fcc1c10563552d8d,90642036,,1,2564,วิศวกรรมคอมพิวเตอร์,,
038943830761d707fcc1c10563552d8d,90644007,S,0,2564,วิศวกรรมคอมพิวเตอร์,4,
038943830761d707fcc1c10563552d8d,90644008,S,0,2564,วิศวกรรมคอมพิวเตอร์,4,
038943830761d707fcc1c10563552d8d,90644010,,1,2564,วิศวกรรมคอมพิวเตอร์,,
045fa9534fcc8307eec6916543c76be2,90201001,A,1,2563,วิศวกรรมคอมพิวเตอร์,4,
045fa9534fcc8307eec6916543c76be2,90201002,A,2,2563,วิศวกรรมคอมพิวเตอร์,4,
045fa9534fcc8307eec6916543c76be2,90201017,C+,1,2563,วิศวกรรมคอมพิวเตอร์,2.5,
045fa9534fcc8307eec6916543c76be2,90201020,,1,2564,วิศวกรรมคอมพิวเตอร์,,
045fa9534fcc8307eec6916543c76be2,90401013,A,2,2563,วิศวกรรมคอมพิวเตอร์,4,
045fa9534fcc8307eec6916543c76be2,90402013,A,1,2563,วิศวกรรมคอมพิวเตอร์,4,
045fa9534fcc8307eec6916543c76be2,90592016,,1,2564,วิศวกรรมคอมพิวเตอร์,,
046c2f3be8bdd5507e4170d562d37502,90641001,,1,2564,วิศวกรรมคอมพิวเตอร์,,
046c2f3be8bdd5507e4170d562d37502,90641003,,1,2564,วิศวกรรมคอมพิวเตอร์,,
046c2f3be8bdd5507e4170d562d37502,90642036,,1,2564,วิศวกรรมคอมพิวเตอร์,,
046c2f3be8bdd5507e4170d562d37502,90642116,,1,2564,วิศวกรรมคอมพิวเตอร์,,
046c2f3be8bdd5507e4170d562d37502,90644007,S,0,2564,วิศวกรรมคอมพิวเตอร์,4,
046c2f3be8bdd5507e4170d562d37502,90644008,S,0,2564,วิศวกรรมคอมพิวเตอร์,4,
